listing_id,name,host_id,host_name,host_is_superhost,host_listings_count,host_tenure_years,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price_clean,availability_365,calendar_days,available_days,unavailable_days,availability_rate,occupancy_proxy,number_of_reviews,total_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_communication,estimated_revenue_proxy,superhost_status,price_status,review_status,availability_rate_pct,occupancy_proxy_pct,host_portfolio_segment
1177399335096020290,Modern flat near the centre,111742151,Wendy,False,1.0,9.43,De Baarsjes - Oud-West,52.36100852511515,4.8615736017208455,Entire rental unit,Entire home/apt,2,1.0,,,0,365,0,365,0.0,1.0,2,2.0,5.0,4.5,5.0,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1177416151176361450,Spacious & Sunny Maisonette with Roof Terrace,15158332,Frans,False,1.0,12.13,De Pijp - Rivierenbuurt,52.345532937699765,4.88915972325782,Entire condo,Entire home/apt,2,1.0,,,0,365,0,365,0.0,1.0,1,1.0,4.0,3.0,5.0,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1178014267265258452,Amazing place along Amstel-river,326772808,Raymond,False,1.0,6.44,Oud-Oost,52.35867,4.90606,Entire condo,Entire home/apt,3,2.0,,,0,365,0,365,0.0,1.0,3,3.0,5.0,4.67,5.0,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1178251225165895668,Stylish design appartement - 5 min van het centrum,143518985,Jetske,False,1.0,8.89,Oud-Noord,52.3860271,4.915759299999999,Entire condo,Entire home/apt,2,1.0,,,0,365,0,365,0.0,1.0,0,,,,,,,Non-Superhost,Missing Price,No Reviews,0.0,100.0,Single-listing host
1178341425568409118,Loft design apartment in Centre Museum Quarter,583312213,Timotheus,False,1.0,2.02,Zuid,52.35965054933986,4.881404037508269,Entire rental unit,Entire home/apt,4,1.0,1.0,665.0,269,365,269,96,0.737,0.263,2,2.0,5.0,5.0,5.0,5.0,63840.0,Non-Superhost,Available Price,Has Reviews,73.7,26.3,Single-listing host
1178362816154904565,Light apartment in Amsterdam,49847642,Teresa,False,1.0,10.57,Bos en Lommer,52.37896,4.85156,Entire rental unit,Entire home/apt,4,2.0,,,0,365,0,365,0.0,1.0,2,2.0,5.0,4.5,4.5,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1178778369466247253,Lovely spacious house with garden & 2 cats,29652940,Kim,True,1.0,11.26,Oud-Noord,52.3989637,4.9041804,Entire home,Entire home/apt,5,3.0,,,0,365,0,365,0.0,1.0,13,13.0,5.0,4.77,4.69,5.0,,Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1178807963700943995,Sunny Apartment Near Jordaan,31963683,Martine,False,1.0,11.15,Centrum-West,52.379698003146416,4.879857931727595,Entire rental unit,Entire home/apt,2,1.0,,,0,365,0,365,0.0,1.0,0,,,,,,,Non-Superhost,Missing Price,No Reviews,0.0,100.0,Single-listing host
1178897992888805040,NEW! Casa Bilyve,14896844,Yvette,False,1.0,12.15,IJburg - Zeeburgereiland,52.36134671884222,4.981262230105203,Entire home,Entire home/apt,5,3.0,,,0,365,0,365,0.0,1.0,6,6.0,4.67,4.83,4.5,4.83,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1179444246852717134,Spacious and bright apartment including nursery,32681549,Sabine,False,1.0,11.13,Oud-Oost,52.35138,4.91657,Entire rental unit,Entire home/apt,3,2.0,,,0,365,0,365,0.0,1.0,1,1.0,5.0,5.0,5.0,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
